Team,games,teamFieldGoals,teamFGA,teamFGperc,teamThreePointers,teamThreePA,teamThreePperc,teamTwoPointers,teamTwoPA,teamTwoPperc,teamFreeThrows,teamFreeTA,teamFreeTperc,teamOffRbs,teamDefRbs,teamTotRbs,teamAssists,teamSteals,teamBlocks,teamTurnovers,teamFouls,year 
Atlanta Dream*,34,36.8,84.9,0.434,5.3,17.9,0.296,31.5,67,0.47,19.1,25.8,0.739,12.8,30.6,43.4,22.5,12.2,5.8,20.5,21.6,2012
Tulsa Shock,34,34.8,85.9,0.405,10.1,26.6,0.38,24.7,59.3,0.416,18.3,25.3,0.725,12.4,25,37.4,19.4,12.3,3.5,18.7,24.2,2012
Chicago Sky,34,36.4,84.6,0.431,8,23.4,0.34,28.5,61.1,0.466,16.6,22.7,0.73,13.9,31.4,45.2,21.1,11.3,4.9,23,25.3,2012
New York Liberty*,34,37.5,88.2,0.425,7.9,22.2,0.355,29.6,66,0.448,13.3,17.6,0.756,13.2,30.7,43.9,20.6,9.8,5.5,21.5,22.2,2012
Seattle Storm*,34,34.4,79.2,0.434,9.4,26.8,0.351,25,52.4,0.476,17.5,23.3,0.751,9,33.8,42.8,22.8,8.1,4,22.8,23.8,2012
Phoenix Mercury,34,33.8,87.9,0.384,7.1,24.1,0.295,26.7,63.9,0.418,18.4,24.1,0.761,15.3,31.4,46.7,17.1,8.9,4.7,20.6,25.6,2012
Washington Mystics,34,34.7,84.1,0.412,5.7,18.8,0.301,29,65.3,0.444,16.6,23.1,0.719,13.4,28.3,41.7,20.8,11.5,4.6,22.4,24.7,2012
Phoenix Mercury*,34,38.3,83,0.461,8.6,23.1,0.373,29.6,59.9,0.495,23.8,28,0.851,11.2,31.8,43,23.5,8,4.8,18.9,24.5,2011
Minnesota Lynx*,34,41.5,90.1,0.461,6.5,17.7,0.368,35,72.3,0.484,17.5,23.8,0.737,14.3,33.7,48,23.8,9.6,4.8,17,23.3,2011
Indiana Fever*,34,36.6,82.8,0.443,8.7,23.1,0.379,27.9,59.7,0.468,21.5,27.2,0.788,11.6,30.5,42,21.8,11.7,6.5,19.7,23.8,2011
Los Angeles Sparks,34,37.7,84.9,0.445,9.2,23.2,0.396,28.5,61.7,0.463,17.1,21.5,0.794,11.4,30.4,41.8,23.9,9.7,4.5,20,22.3,2011
Connecticut Sun*,34,37.6,88.8,0.424,7.5,20.8,0.363,30.1,68.1,0.442,18.7,24.5,0.763,12.7,32.4,45,21.7,9.2,4.3,16.6,19.9,2011
Atlanta Dream*,34,38.8,87.1,0.446,2.6,10.2,0.261,36.2,76.9,0.47,20.2,29,0.694,14,30,44,22.4,11.3,6.5,18.3,22.8,2011
New York Liberty*,34,38.5,89,0.433,7.6,21.3,0.358,30.9,67.7,0.457,15,19.4,0.772,13.8,29.2,43,20.6,11,5,19.4,24.8,2011
San Antonio Silver Stars*,34,36.6,85,0.43,8.3,23.4,0.356,28.2,61.6,0.459,18.2,24.2,0.752,9.1,31.1,40.2,23.3,10.8,4.7,16.4,22.4,2011
Seattle Storm*,34,36.1,82.3,0.438,8.6,24.2,0.356,27.4,58.1,0.473,17.7,22.2,0.8,10.9,32.6,43.5,22,10.2,4.7,22.1,26,2011
Chicago Sky,34,35.9,82.1,0.438,6.2,17.1,0.364,29.7,65,0.457,18.1,23.5,0.771,11.8,31.9,43.8,21.6,10.3,7.1,22.8,23.6,2011
Washington Mystics,34,34.5,85.1,0.406,6.7,20.5,0.329,27.8,64.7,0.43,18.9,25.9,0.731,15.4,28.9,44.3,18.7,11.1,4.4,22.7,25.1,2011
Tulsa Shock,34,32.7,82.6,0.396,6.4,22.7,0.284,26.3,59.8,0.439,18.9,23.6,0.802,11.7,28.6,40.2,18.9,9.7,4.1,22.5,26.3,2011
Phoenix Mercury*,34,39.6,83.7,0.473,8.7,24.1,0.359,31,59.6,0.519,22,25.9,0.848,10.2,31.7,41.8,23.6,8.2,5.1,17.9,23.4,2010
Seattle Storm*,34,38.6,86.7,0.445,9.6,25.9,0.369,29,60.7,0.478,21.4,27,0.793,15.3,32.7,48,24.7,10.9,5,20.4,27.4,2010
New York Liberty*,34,38.9,86,0.453,9.1,22.2,0.409,29.9,63.8,0.468,17.8,21.8,0.818,11.5,29.8,41.3,24.5,10.8,3.9,19.2,25.1,2010
Connecticut Sun,34,37.3,87.4,0.427,7.9,23.7,0.333,29.5,63.7,0.463,19.5,24.3,0.802,13.2,32.7,45.9,22.4,8.9,4.8,18.5,22.5,2010
Indiana Fever*,34,36.1,82.3,0.438,8.3,22.6,0.365,27.8,59.6,0.466,21.6,27.6,0.782,12.5,29.8,42.4,21.7,12.7,6.6,21.1,27,2010
Washington Mystics*,34,36.8,81.7,0.451,6.2,17.7,0.352,30.6,64,0.478,21.9,28.3,0.775,13.3,32,45.2,18.4,10.8,3.1,22.9,26.5,2010
San Antonio Silver Stars*,34,37.9,82.2,0.461,7.6,22.9,0.332,30.3,59.3,0.51,18.4,24.1,0.763,10.4,29.5,39.8,23.3,9.9,3.3,20.3,22.4,2010
Atlanta Dream*,34,38,85.6,0.444,4.6,15.8,0.289,33.4,69.8,0.479,20.9,29.5,0.709,15.2,30.9,46.1,23.3,10.6,4.9,19.9,24.8,2010
Los Angeles Sparks*,34,37,83.9,0.441,7.6,22.7,0.337,29.3,61.2,0.479,19.1,23.3,0.822,9.9,30,39.9,23.8,9.3,4.7,18.9,21.7,2010
Chicago Sky,34,36.6,83.9,0.437,6.8,19.8,0.341,29.9,64.1,0.466,20.5,27.6,0.745,12,29.8,41.9,22.6,11,6.2,19.3,23.3,2010
Minnesota Lynx,34,34.6,87,0.397,6.2,19.3,0.321,28.4,67.7,0.419,22.6,29.9,0.756,14.4,29.4,43.8,18.6,11.1,4.1,18,25,2010
Tulsa Shock,34,35.2,83.1,0.424,7.1,19.8,0.357,28.1,63.3,0.444,17.4,24.5,0.711,12.3,26.2,38.5,20.3,11.9,5.2,22,24,2010
Phoenix Mercury*,34,39,84.9,0.46,8.9,23,0.386,30.1,61.9,0.487,22.2,26,0.855,9.8,31.3,41.2,21.6,7.8,6.3,17.3,25.6,2009
Minnesota Lynx,34,35.2,83.7,0.42,9,25.8,0.348,26.2,57.9,0.453,21.9,28.4,0.772,12.1,28.3,40.3,18.9,11.2,4.7,19,25.7,2009
San Antonio Silver Stars*,34,36,84.3,0.427,9.9,28.4,0.346,26.2,55.8,0.469,18.7,24.1,0.778,10.8,29.6,40.4,23,9.9,4.5,19.6,22.9,2009
Atlanta Dream*,34,38.2,85.1,0.449,4,13.1,0.305,34.2,72,0.475,19.9,26.5,0.754,14.2,30,44.1,19.2,11.5,4.2,20.7,26,2009
Chicago Sky,34,36,82.8,0.435,7.2,18.3,0.395,28.8,64.5,0.447,20.4,26.9,0.76,11.9,30.1,42,20.6,9.6,5.3,20.6,23.4,2009
Sacramento Monarchs,34,36.1,83.8,0.431,5,14.9,0.339,31.1,68.9,0.451,22.4,28.4,0.788,14.9,29.1,44.1,20.6,11,3.7,22.3,24.6,2009
Detroit Shock*,34,36.7,85.3,0.43,5.7,16.3,0.351,31,68.9,0.449,20.2,27,0.748,14,31.9,45.9,21.5,9.8,3.6,20.4,28.7,2009
Seattle Storm*,34,35.4,82.3,0.43,6.7,18.9,0.352,28.7,63.4,0.453,21.6,27.5,0.785,12.3,30.7,43,20.9,10.7,5.8,21.6,27.6,2009
Indiana Fever*,34,33.6,83.6,0.402,8,24.1,0.334,25.6,59.5,0.43,23.2,28.2,0.822,12.9,29.5,42.4,19.9,14.1,4.4,20.1,26.1,2009
Connecticut Sun,34,35.9,88.4,0.406,7.5,23.7,0.316,28.4,64.7,0.439,19.2,25.7,0.747,13.3,30.7,44,22.6,9.3,4.8,16.8,25.1,2009
Los Angeles Sparks*,34,37.6,87.7,0.429,5.8,19.7,0.294,31.8,68,0.468,16.9,21.5,0.787,14.2,33.8,48.1,22.8,8.4,6.6,21.8,22.7,2009
New York Liberty,34,34.6,83.1,0.417,9.9,27.4,0.362,24.7,55.7,0.443,17.9,22.7,0.787,10.8,31.1,41.9,20.4,10.5,4.8,21.1,24.6,2009
Washington Mystics*,34,34.7,82,0.423,5.2,15.8,0.326,29.5,66.2,0.446,21.6,30.8,0.701,14.4,29.9,44.3,16.9,11.7,4.4,22.6,27,2009
